ccg_code,ccg_name,ccg_patient_count,ccg_scrips_per_head,ccg_spend_per_head,ccg_spend_drift
00C,NHS Darlington CCG,84625.0,0.0018316100443131463,0.07434292466765138,2.6809253332925174
00D,"NHS Durham Dales, Easington and Sedgefield CCG",232628.0,0.002527640696734701,0.09477814364564872,42.40157083166011
00F,NHS Gateshead CCG,168292.0,0.002133197062248948,0.07994675920424021,13.573293323036841
00G,NHS Newcastle North and East CCG,125410.0,0.0027190814129654734,0.11209018419583754,76.05158585169998
00H,NHS Newcastle West CCG,103460.0,0.002880340228107481,0.12107693794703268,93.5194515162024
00J,NHS North Durham CCG,198135.0,0.002609332021096727,0.09742014283190756,47.53691649139363
00K,NHS Hartlepool and Stockton-On-Tees CCG,228082.0,0.0021088906621302863,0.0985185591147043,49.671946403506645
00L,NHS Northumberland CCG,264148.0,0.0033352514499447278,0.14144873328588498,133.11681828242575
00M,NHS South Tees CCG,230654.0,0.0018295802370650411,0.07419476792078178,2.3929479141645302
00N,NHS South Tyneside CCG,125301.0,0.003144428216853816,0.12936026049273347,109.62003349384952
00P,NHS Sunderland CCG,231625.0,0.0018564490016189962,0.06463926605504589,-16.18041323144144
00Q,NHS Blackburn with Darwen CCG,124909.0,0.001937410434796532,0.07906571984404642,11.860786491862394
00R,NHS Blackpool CCG,139228.0,0.003411670066365961,0.1568707443904961,163.09311736773066
00T,NHS Bolton CCG,229563.0,0.001664031224544025,0.0813267381938727,16.255606456133467
00V,NHS Bury CCG,154052.0,0.0016552852283644483,0.06280171630358578,-19.752122560416463
00W,NHS Central Manchester CCG,159701.0,0.0020350530053036614,0.08491293103988076,23.22621415446251
00X,NHS Chorley and South Ribble CCG,139469.0,8.819164115323119E-4,0.03929927080569875,-65.4346428686849
00Y,NHS Oldham CCG,177319.0,0.0018384944647781682,0.0780524929646569,9.891342184513322
01A,NHS East Lancashire CCG,288876.0,0.002738199088882427,0.10768343510710464,67.4860344601402
01C,NHS Eastern Cheshire CCG,164531.0,0.0019084549416219436,0.07099215345436423,-3.832085153769925
01D,"NHS Heywood, Middleton and Rochdale CCG",174292.0,0.0013024120441557845,0.056496683726160665,-32.00743355724068
01E,NHS Greater Preston CCG,167553.0,0.0024111773588058705,0.1126831510029662,77.20415604747896
01F,NHS Halton CCG,101262.0,4.4439177578953605E-4,0.019470976279354547,-103.97558821241446
01G,NHS Salford CCG,189822.0,0.0022073310785894152,0.08248148265216884,18.50012340104953
01H,NHS Cumbria CCG,411612.0,0.001319203521763214,0.04645928690125656,-51.517470686655784
01J,NHS Knowsley CCG,126171.0,1.5058927962844075E-4,0.010564154995997495,-121.28808636056065
01K,NHS Lancashire North CCG,131046.0,0.002220594295133007,0.09495085695099427,42.73727968713498
01M,NHS North Manchester CCG,138202.0,0.0019608978162399967,0.08023205163456394,14.127826137216996
01N,NHS South Manchester CCG,131660.0,0.0025672185933464987,0.11184140969162995,75.56803419995106
01R,NHS South Cheshire CCG,139532.0,0.0026660550984720353,0.0996324140698907,51.83698499982393
01T,NHS South Sefton CCG,126822.0,3.469429594234439E-4,0.01351610919241141,-115.55027037290606
01V,NHS Southport and Formby CCG,101234.0,8.297607523164155E-4,0.02145998379990912,-100.10948515266259
01W,NHS Stockport CCG,237826.0,0.002051920311488231,0.09061271686022547,34.305085989909884
01X,NHS St Helens CCG,155786.0,3.6588653665926336E-4,0.018636847983772614,-105.59691237657638
01Y,NHS Tameside and Glossop CCG,187054.0,0.0014220492478107926,0.05960481999850313,-25.966041039389047
02A,NHS Trafford CCG,181553.0,0.0018011269436473095,0.08264170793101737,18.811558845312295
02D,NHS Vale Royal CCG,79614.0,0.003755620870701133,0.13593551385434716,122.40058202233914
02E,NHS Warrington CCG,154616.0,9.830806643555648E-4,0.09834434987323434,49.33332984498492
02F,NHS West Cheshire CCG,206635.0,0.0021438768843613136,0.07270394657245867,-0.5048133646306266
02G,NHS West Lancashire CCG,90171.0,4.768717215069146E-4,0.025209768107262873,-92.8208990441355
02H,NHS Wigan Borough CCG,257240.0,0.0025501477219716994,0.09466101694915237,42.173907600111875
02M,NHS Fylde & Wyre CCG,126659.0,0.0020448606099842887,0.08503398889932816,23.461518524094103
02N,"NHS Airedale, Wharfdale and Craven CCG",124811.0,4.326541731097419E-4,0.017411686469942556,-107.97830140017746
02P,NHS Barnsley CCG,180064.0,0.0019437533321485694,0.08388184201172912,21.222050567638956
